"fips","county","noticeBoard","website","feeds","directoryEvidence","reviewedAt","result"
"48001","Anderson","https://www.andersoncountytx.gov/page/notices-pr","https://www.andersoncountytx.gov/","","https://www.county.org/content-library/maps/counties/anderson-county","2026-09-11T18:47:12.227214+00:00","Reviewed"
"48003","Andrews","","https://www.co.andrews.tx.us/","","https://www.county.org/content-library/maps/counties/andrews-county","2026-09-11T18:47:12.227740+00:00","Reviewed"
"48005","Angelina","https://www.angelinacounty.net/pnotices/","https://www.angelinacounty.net/","","https://www.county.org/content-library/maps/counties/angelina-county","2026-09-11T18:47:12.228040+00:00","Reviewed"
"48007","Aransas","","https://www.aransascountytx.gov/main/","","https://www.county.org/content-library/maps/counties/aransas-county","2026-09-11T18:47:12.228263+00:00","Reviewed"
"48009","Archer","https://www.co.archer.tx.us/page/archer.Public.Notices","https://www.co.archer.tx.us/","","https://www.county.org/content-library/maps/counties/archer-county","2026-09-11T18:47:15.615172+00:00","Reviewed"
"48011","Armstrong","https://www.co.armstrong.tx.us/page/armstrong.PublicNotices","https://www.co.armstrong.tx.us/","https://newtools.cira.state.tx.us/page/calrss/41450/0/calendar.rss","https://www.county.org/content-library/maps/counties/armstrong-county","2026-09-11T18:47:16.921052+00:00","Reviewed"
"48013","Atascosa","https://co.atascosa.tx.us/public-notices/","https://co.atascosa.tx.us/","","https://www.county.org/content-library/maps/counties/atascosa-county","2026-09-11T18:47:18.518079+00:00","Reviewed"
"48015","Austin","https://www.austincounty.com/page/austin.Public.Notices","https://www.austincounty.com/","https://newtools.cira.state.tx.us/page/calrss/955/0/calendar.rss","https://www.county.org/content-library/maps/counties/austin-county","2026-09-11T18:47:21.765852+00:00","Reviewed"
"48017","Bailey","https://www.co.bailey.tx.us/page/bailey.PublicNoticesCalendar","https://www.co.bailey.tx.us/","https://newtools.cira.state.tx.us/page/calrss/27838/0/calendar.rss","https://www.county.org/content-library/maps/counties/bailey-county","2026-09-11T18:47:22.329045+00:00","Reviewed"
"48019","Bandera","","https://www.banderacounty.gov/","","https://www.county.org/content-library/maps/counties/bandera-county","2026-09-11T18:47:25.405843+00:00","Reviewed"
"48021","Bastrop","https://www.bastropcounty.gov/page/co.residents","https://www.bastropcounty.gov/","","https://www.county.org/content-library/maps/counties/bastrop-county","2026-09-11T18:47:26.917846+00:00","Reviewed"
"48023","Baylor","https://www.co.baylor.tx.us/page/baylor.Public.Notices","https://www.co.baylor.tx.us/","https://newtools.cira.state.tx.us/page/calrss/69601/0/calendar.rss","https://www.county.org/content-library/maps/counties/baylor-county","2026-09-11T18:47:27.061612+00:00","Reviewed"
"48025","Bee","","","","https://www.county.org/content-library/maps/counties/bee-county","2026-09-11T18:47:28.555580+00:00","URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is n"
"48027","Bell","https://www.bellcountytx.com/publicnotice_detail_T3_R556.php","https://www.bellcountytx.com/","","https://www.county.org/content-library/maps/counties/bell-county","2026-09-11T18:47:28.701396+00:00","Reviewed"
"48029","Bexar","","https://www.bexar.org/","","https://www.county.org/content-library/maps/counties/bexar-county","2026-09-11T18:47:29.683474+00:00","Reviewed"
"48031","Blanco","https://www.blancocountytexas.gov/page/Public.NoticesCalendar","https://www.blancocountytexas.gov/","https://www.blancocountytexas.gov/page/calrss/1815/0/calendar.rss","https://www.county.org/content-library/maps/counties/blanco-county","2026-09-11T18:47:30.661729+00:00","Reviewed"
"48033","Borden","https://www.co.borden.tx.us/page/Calendar.publicnotices","https://www.co.borden.tx.us/","","https://www.county.org/content-library/maps/counties/borden-county","2026-09-11T18:47:30.879548+00:00","Reviewed"
"48035","Bosque","","https://www.bosquecounty.gov/","","https://www.county.org/content-library/maps/counties/bosque-county","2026-09-11T18:47:30.933937+00:00","Reviewed"
"48037","Bowie","","https://www.bowiecounty.org/","","https://www.county.org/content-library/maps/counties/bowie-county","2026-09-11T18:47:31.687092+00:00","Reviewed"
"48039","Brazoria","","https://brazoriacountytx.gov/","","https://www.county.org/content-library/maps/counties/brazoria-county","2026-09-11T18:47:32.592380+00:00","HTTPError: HTTP Error 403: Forbidden"
"48041","Brazos","","https://www.brazoscountytx.gov/","","https://www.county.org/content-library/maps/counties/brazos-county","2026-09-11T18:47:33.148829+00:00","Reviewed"
"48043","Brewster","https://www.brewstercounty.gov/page/public.notices","https://www.brewstercounty.gov/","","https://www.county.org/content-library/maps/counties/brewster-county","2026-09-11T18:47:33.436756+00:00","Reviewed"
"48045","Briscoe","https://www.co.briscoe.tx.us/page/briscoe.PublicNotices","https://www.co.briscoe.tx.us/","","https://www.county.org/content-library/maps/counties/briscoe-county","2026-09-11T18:47:33.750344+00:00","Reviewed"
"48047","Brooks","https://www.co.brooks.tx.us/page/brooks.Public.Notices.Calendar","https://www.co.brooks.tx.us/","https://newtools.cira.state.tx.us/page/calrss/41564/814/calendar.rss","https://www.county.org/content-library/maps/counties/brooks-county","2026-09-11T18:47:34.325303+00:00","Reviewed"
"48049","Brown","https://www.browncountytx.gov/page/brown.PublicNotices","https://www.browncountytx.gov/","https://newtools.cira.state.tx.us/page/calrss/3051/0/calendar.rss","https://www.county.org/content-library/maps/counties/brown-county","2026-09-11T18:47:34.945958+00:00","Reviewed"
"48051","Burleson","","https://www.burlesoncountytx.gov/","","https://www.county.org/content-library/maps/counties/burleson-county","2026-09-11T18:47:34.966665+00:00","Reviewed"
"48053","Burnet","","https://www.burnetcountytexas.org/","","https://www.county.org/content-library/maps/counties/burnet-county","2026-09-11T18:47:35.465664+00:00","Reviewed"
"48055","Caldwell","https://www.co.caldwell.tx.us/page/caldwell.County.News","https://www.co.caldwell.tx.us/","","https://www.county.org/content-library/maps/counties/caldwell-county","2026-09-11T18:47:36.283751+00:00","Reviewed"
"48057","Calhoun","https://www.calhouncotx.org/calhoun-county-public-notices-resolutions/","https://www.calhouncotx.org/","","https://www.county.org/content-library/maps/counties/calhoun-county","2026-09-11T18:47:36.740107+00:00","Reviewed"
"48059","Callahan","","https://www.callahancounty.org/","","https://www.county.org/content-library/maps/counties/callahan-county","2026-09-11T18:47:37.191854+00:00","Reviewed"
"48061","Cameron","","https://www.cameroncountytx.gov/","","https://www.county.org/content-library/maps/counties/cameron-county","2026-09-11T18:47:38.069308+00:00","Reviewed"
"48063","Camp","https://www.co.camp.tx.us/page/camp.PublicNotices","https://www.co.camp.tx.us/","","https://www.county.org/content-library/maps/counties/camp-county","2026-09-11T18:47:39.721333+00:00","Reviewed"
"48065","Carson","https://www.co.carson.tx.us/page/carson.Public.Notices","https://www.co.carson.tx.us/","https://newtools.cira.state.tx.us/page/calrss/35997/0/calendar.rss","https://www.county.org/content-library/maps/counties/carson-county","2026-09-11T18:47:46.316724+00:00","Reviewed"
"48067","Cass","https://www.co.cass.tx.us/page/cass.PublicNotices","https://www.co.cass.tx.us/","https://newtools.cira.state.tx.us/page/calrss/21766/0/calendar.rss","https://www.county.org/content-library/maps/counties/cass-county","2026-09-11T18:47:48.126590+00:00","Reviewed"
"48069","Castro","https://www.co.castro.tx.us/page/castro.PublicNotices","https://www.co.castro.tx.us/","https://newtools.cira.state.tx.us/page/calrss/4883/0/calendar.rss","https://www.county.org/content-library/maps/counties/castro-county","2026-09-11T18:47:49.271664+00:00","Reviewed"
"48071","Chambers","","https://www.chamberscountytx.gov/","","https://www.county.org/content-library/maps/counties/chambers-county","2026-09-11T18:47:50.759474+00:00","Reviewed"
"48073","Cherokee","","https://www.co.cherokee.tx.us/","","https://www.county.org/content-library/maps/counties/cherokee-county","2026-09-11T18:47:52.044039+00:00","HTTPError: HTTP Error 403: Forbidden"
"48075","Childress","https://www.childresstx.us/pages/public-notices","https://www.childresstx.us/","","https://www.county.org/content-library/maps/counties/childress-county","2026-09-11T18:47:58.019501+00:00","Reviewed"
